bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
84,True,75,31153920,0.029,0,34,5,0,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
85,True,91,14713840,0.0137,0,40,6,0,"{""snapshot_file"": 91}","{""binary_or_unknown"": 91}"
86,True,63,448363072,0.4176,0,22,4,2,"{""snapshot_file"": 63}","{""binary_or_unknown"": 63}"
87,True,65,357312640,0.3328,0,24,4,1,"{""snapshot_file"": 65}","{""binary_or_unknown"": 65}"
88,True,74,319576976,0.2976,0,30,4,1,"{""snapshot_file"": 74}","{""json_like"": 1, ""binary_or_unknown"": 73}"
89,True,82,320222144,0.2982,0,35,7,1,"{""snapshot_file"": 82}","{""binary_or_unknown"": 82}"
8a,True,82,6607024,0.0062,0,29,2,0,"{""snapshot_file"": 82}","{""binary_or_unknown"": 82}"
8b,True,81,18471104,0.0172,0,40,6,0,"{""snapshot_file"": 81}","{""binary_or_unknown"": 81}"
8c,True,71,18070560,0.0168,0,26,5,0,"{""snapshot_file"": 71}","{""binary_or_unknown"": 71}"
8d,True,70,10022688,0.0093,0,23,2,0,"{""snapshot_file"": 70}","{""binary_or_unknown"": 70}"
8e,True,75,315378656,0.2937,0,28,3,1,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
8f,True,73,24371072,0.0227,0,33,7,0,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
90,True,68,335507632,0.3125,0,29,2,1,"{""snapshot_file"": 68}","{""binary_or_unknown"": 66, ""json_like"": 2}"
91,True,87,21864352,0.0204,0,32,5,0,"{""snapshot_file"": 87}","{""binary_or_unknown"": 84, ""json_like"": 3}"
92,True,76,316570320,0.2948,0,34,1,1,"{""snapshot_file"": 76}","{""binary_or_unknown"": 75, ""json_like"": 1}"
93,True,74,14935840,0.0139,0,29,5,0,"{""snapshot_file"": 74}","{""binary_or_unknown"": 74}"
94,True,83,12681152,0.0118,0,27,3,0,"{""snapshot_file"": 83}","{""binary_or_unknown"": 80, ""json_like"": 3}"
